lon,lat,name,beschreibung,adresse,telefon,transport,medium,link,category,category_id
13.3481716,52.5264629,Behandlungszentrum für Folteropfer Berlin e.V. (bzfo),"Treatment of torture victims. Free medical, psychotherapeutic help and social assistance refugees and migrants.","**Adress:** Turmstraße 21, 10559 Berlin-Moabit (Haus K, Eingang C, 3. Etage)",**Phone:** +49 30 3039060,**Transport: **[[http://fahrinfo.bvg.de/Fahrinfo/bin/query.bin/en?| BVG Routeplanner ]],,,Counseling,1
13.5292108,52.528494,Beratung für ausländische Mitbürger Reistrommel e.V.,Free support and consultation services for refugees and migrants.,"**Adress:** Coswiger Straße 5, 12681 Berlin-Marzahn",**Phone:** +49 30 21 75 85 48,**Transport: **[[http://fahrinfo.bvg.de/Fahrinfo/bin/query.bin/en?| BVG Routeplanner ]],**E-Mail:** info@reistrommel-ev.de,**Website:** http://www.reistrommel-ev.de,Counseling,1
13.49597,52.53767,Bürgerinitiative Ausländische Mitbürgerinnen e.V.,Free support and consultation services for refugees and migrants.,"**Adress:** Neustrelitzer Straße 63, 13055 Berlin-Hohenschönhausen",**Phone:** +49 30 9814546,**Transport: **[[http://fahrinfo.bvg.de/Fahrinfo/bin/query.bin/en?| BVG Routeplanner ]],**Website:** http://www.bi-berlin.org,,Counseling,1
13.335438966751099,52.52740343187378,CARITAS - Beratungsstelle für Flüchtlinge und Ehrenamtliche,Free support and consultation services for refugees and migrants.,"**Adress:** Oldenburger Straße 47, 10551 Berlin",**Phone:** +49 30 32669159,**Transport: **[[http://fahrinfo.bvg.de/Fahrinfo/bin/query.bin/en?| BVG Routeplanner ]],**E-Mail:** d.wagner@caritas-berlin.de,**Website:** http://www.caritas-berlin.de,Counseling,1
13.44045,52.47534,EJF - Deutsch-Arabisches Zentrum für Bildung und Integration,Support and consultation services for migrants from Arabic countries.,**Adress:** Uthmannstr. 23. 12043 Berlin,**Phone:** +49 30 56826648,**Transport: **[[http://fahrinfo.bvg.de/Fahrinfo/bin/query.bin/en?| BVG Routeplanner ]],**E-Mail:** daz@ejf.de,**Website:** https://www.ejf.de/fluechtlingshilfe/sprach-und-bildungskurse/deutsch-arabisches-zentrum.html,Counseling,1
13.3481716,52.5264629,EJF - Ev. Jugend- und Fürsorgewerk Wohnungen für Flüchtlinge - Beratung und Vermittlung,Free support and consultation services for refugees and migrants.,"**Adress:** Turmstraße 21, 10559 Berlin-Moabit (Information: Haus M, Eingang R)",**Phone:** +49 30 30873652,**Transport: **[[http://fahrinfo.bvg.de/Fahrinfo/bin/query.bin/en?| BVG Routeplanner ]],**E-Mail:** wohnungen-fuer-fluechtlinge@ejf.de,,Counseling,1
13.578323700000002,52.5481662,Erziehungs-und Familienberatung,Counseling for families and refugees.,"**Adresse:** Landsberger Allee 563, 12679 Berlin",,,,,Counseling,1
13.409413,52.513138,Familienzentrum Fischerinsel - FZF,"Help and advice for families. Childcare, recreation and exercise programs for children. (Located in the KREATIVHAUS e.V.)","**Adress:** Fischerinsel 3, 10179 Berlin",**Phone:** +49 30 2380913,**Transport: **[[http://fahrinfo.bvg.de/Fahrinfo/bin/query.bin/en?| BVG Routeplanner ]],,**Website:** http://www.kreativhaus-berlin.de/web/familienzentrum-fischerinsel-fzf,Counseling,1
13.385504,52.486762,Familienzentrum Mehringdamm,"Help and advice for families. Childcare, recreation and exercise programs for children.","**Adress:** Mehringdamm 114, 10965 Berlin",**Phone:** +49 30 2850 4716,**Transport: **[[http://fahrinfo.bvg.de/Fahrinfo/bin/query.bin/en?| BVG Routeplanner ]],,**Website:** http://www.pfh-berlin.de/kinder-und-jugendhilfe/familienzentren/mehringdamm,Counseling,1
13.353531,52.529596,Familienzentrum Moabit-Ost,"Help and advice for families. Childcare, recreation and exercise programs for children.","**Adress:** Rathenower Straße 17, 10559 Berlin",**Phone:** +49 30 50566738,**Transport: **[[http://fahrinfo.bvg.de/Fahrinfo/bin/query.bin/en?| BVG Routeplanner ]],,**Website:** http://familienzentrum-moabit.de/,Counseling,1
13.337433,52.495057,Feministisches Frauen Gesundheitszentrum e.V.,Health advice for women and girls,"**Adress:** Bamberger Straße 51, 10777 Berlin",**Phone:** +49 30 2139597,**Transport: **[[http://fahrinfo.bvg.de/Fahrinfo/bin/query.bin/en?| BVG Routeplanner ]],,**Website:** https://www.ffgz.de/,Counseling,1
13.445985,52.50062,FrauenComputerZentrumBerlin e.V. (FCZB),"Further education and advanced training for women and girls, chiefly in IT and computer science","**Adress:** Cuvry Straße 1, 10997 Berlin",**Phone:** +49 30 61797016,**Transport: **[[http://fahrinfo.bvg.de/Fahrinfo/bin/query.bin/en?| BVG Routeplanner ]],,**Website:** http://fczb.de/,Counseling,1
13.4069711,52.5327557,Frauenkreise Berlin,"Legal advice for women, who are refugees or asylum-seekers. Free and anonymous consultations twice a month. Contact via phone for appointment.","**Adress:** Choriner Str. 10, 10119 Berlin",**Phone:** +49 30 2806185,**Transport: **[[http://fahrinfo.bvg.de/Fahrinfo/bin/query.bin/en?| BVG Routeplanner ]],**Website:** http://www.frauenkreise-berlin.de/beratung.php,,Counseling,1
13.396778,52.544551,Hatem Al-Batta ,Interpreter and translator for Arabic-German,"**Adress:** Swinemünder Straße 48, 13355 Berlin",**Phone:** +49 30 7914857,**Transport: **[[http://fahrinfo.bvg.de/Fahrinfo/bin/query.bin/en?| BVG Routeplanner ]],,**E-Mail:** hatem.balta@hotmail.com,Counseling,1
13.43291,52.47731,Haus der Begegnung (Jugendmigrationsdienst - Diakoniewerk Simeon e.V.),Free support and consultation services for refugees and migrants (youths and young adults).,"**Adress:** Morusstraße 18 a, 12053 Berlin",**Phone:** +49 30 68247755,**Transport: **[[http://fahrinfo.bvg.de/Fahrinfo/bin/query.bin/en?| BVG Routeplanner ]],**E-Mail:** jmd@diakoniewerk-simeon.de,**Website:** http://www.jmd-neukoelln.de/beratung.html,Counseling,1
13.4379658,52.4647395,Jugendberatungshaus Neukölln (Jugendmigrationsdienst),Free support and consultation services for refugees and migrants (youths and young adults).,"**Adress:** Glasower Straße 18, 12051 Berlin",**Phone:** +49 30 62608211,**Transport: **[[http://fahrinfo.bvg.de/Fahrinfo/bin/query.bin/en?| BVG Routeplanner ]],"**E-Mail:** jmd@diakoniewerk-simeon.de, ute.wulff@internationaler-bund.de",**Website:** http://www.jmd-neukoelln.de/beratung.html,Counseling,1
13.3325126,52.5267962,KommMit e.V. / BBZ - Beratung- und Betreuungszentrum für junge Flüchtlinge und Migranten,Free support and consultation services for refugees and migrants.,"**Adress:** Turmstraße 72, 10551 Berlin-Tiergarten",**Phone:** +49 30 66640720,**Transport: **[[http://fahrinfo.bvg.de/Fahrinfo/bin/query.bin/en?| BVG Routeplanner ]],**Website:** http://www.bbzberlin.de,,Counseling,1
13.4132902,52.5027402,Kontakt- und Beratungsstelle für Flüchtlinge und Migrant_innen e.V. (KUB),"Free support and consultation services for refugees and migrants. **Languages:** Arabic, Kurdish, Rumanian, Italian, Spanish, French, Persian, Turkish, English, Russian","**Adress:**  Oranienstr. 159, 10969 Berlin","**Phone:** +49 30 6149400 , +49 30 6149404",**Transport: **[[http://fahrinfo.bvg.de/Fahrinfo/bin/query.bin/en?| BVG Routeplanner ]],**E-Mail:** kontakt@kub-berlin.org,**Website:** http://www.kub-berlin.org,Counseling,1
13.47775,52.4231,Kontakt- und Beratungsstelle in der Kirchengemeinde Gropiusstadt Süd (Jugendmigrationsdienst - Diakoniewerk Simeon e.V.),Free support and consultation services for refugees and migrants (youths and young adults).,"**Adress:** Joachim-Gottschalk-Weg 41, 12353 Berlin",**Phone:** +49 30 66090915,**Transport: **[[http://fahrinfo.bvg.de/Fahrinfo/bin/query.bin/en?| BVG Routeplanner ]],**E-Mail:** jmd@diakoniewerk-simeon.de,**Website:** http://www.jmd-neukoelln.de/beratung.html,Counseling,1
13.417834,52.500327,Kurdisches Zentrum e. V. / Navenda Kurdi,"Help and legal advice, chiefly for Kurdish immigrants and refugees","**Adress:** Dresdener Straße 8, 10999 Berlin ",**Phone:** +49 30 6159092,**Transport: **[[http://fahrinfo.bvg.de/Fahrinfo/bin/query.bin/en?| BVG Routeplanner ]],,**Website:** http://www.kurdisches-zentrum.de/,Counseling,1
13.418349,52.498307,Kurdistan Kultur- und Hilfsverein e.V.,"Help and legal advice, chiefly for Kurdish immigrants and refugees, program for children and language courses","**Adress:** Kottbusser Straße 3, 10999 Berlin",**Phone:** +49 30 68977547,**Transport: **[[http://fahrinfo.bvg.de/Fahrinfo/bin/query.bin/en?| BVG Routeplanner ]],,**Website:** https://www.kkh-ev.de/,Counseling,1
13.439333,52.477563,LernLaden Neukölln,"Help and advice for refugees, chiefly on the subjects of education, school and occupations","**Adress:** Karl-Marx-Straße 131, 12043 Berlin",**Phone:** +49 30 68054377,**Transport: **[[http://fahrinfo.bvg.de/Fahrinfo/bin/query.bin/en?| BVG Routeplanner ]],,**Website:** https://www.gesbit.de/lebensbegleitendes-lernen/lernladen-neukoelln/,Counseling,1
13.38817,52.49191,Medibüro Berlin - Büro für Medizinische Flüchtlingshilfe,Free medical assistance for refugees and migrants.,"**Adress:** Gneisenaustraße 2a, 10961 Berlin-Kreuzberg",**Phone:** +49 30 694 67 46,**Transport: **[[http://fahrinfo.bvg.de/Fahrinfo/bin/query.bin/en?| BVG Routeplanner ]],**E-Mail:** info@medibuero.de,**Website:** http://www.medibuero.de,Counseling,1
13.43291,52.47731,Migrationsberatung für erwachsene Zuwanderer (Diakoniewerk Simeon e.V.),Free support and consultation services for migrants and families.,"**Adress:** Morusstr. 18 A, 12053 Berlin",**Phone:** +49 30 682477-14 ,**Transport: **[[http://fahrinfo.bvg.de/Fahrinfo/bin/query.bin/en?| BVG Routeplanner ]],**E-Mail:** migrationsberatung@diakoniewerk-simeon.de,**Website:** http://www.diakonie-integrationshilfe.de/sis-leistungen/beratung/erwachsene-zuwanderer.html,Counseling,1
13.3492231,52.5001906,"MILES (Zentrum für Migranten, Lesben und Schwule)",Counselling and legal advice for homosexual migrants. Contact via e-mail or phone to make an appointment.,"**Adress:** Kleiststraße 35, 10787 Berlin",**Phone:** +49 30 22502215,**Transport: **[[http://fahrinfo.bvg.de/Fahrinfo/bin/query.bin/en?| BVG Routeplanner ]],**E-Mail:** miles@blsb.de,**Website:** https://berlin.lsvd.de/projekte/miles/,Counseling,1
13.428078,52.498531,Mosque: Omar ibn Al-Khattab,Mosque,"**Adress:** Wiener Straße 11, 10999 Berlin",,**Transport: **[[http://fahrinfo.bvg.de/Fahrinfo/bin/query.bin/en?| BVG Routeplanner ]],,**Website:** http://www.ivwp.de,Counseling,1
13.40967,52.55343,Oase Berlin e.V.,Free support and consultation services for refugees and migrants.,"**Adress:** Schönfließer Straße 7, 10439 Berlin-Prenzlauer Berg",**Phone:** +49 30 300 24 40 40,**Transport: **[[http://fahrinfo.bvg.de/Fahrinfo/bin/query.bin/en?| BVG Routeplanner ]],**E-Mail:** kontakt@oase-berlin.org,**Website:** http://www.oase-berlin.org,Counseling,1
13.2985,52.52532,Papatya,Anonymous crisis shelter and support for girls and young women.,"**Adress:** Mindener Straße 14, 10589 Berlin",**Phone:** +49 30 610062 (**Emergency Call**: +49 30 610063),**Transport: **[[http://fahrinfo.bvg.de/Fahrinfo/bin/query.bin/en?| BVG Routeplanner ]],**E-Mail:** beratung@papatya.org,**Website:** http://www.papatya.org,Counseling,1
13.5134046,52.4545097,Projekt InteraXion ,Free support and consultation services for migrants and refugees who experienced discrimination and traumatic events.,"**Adress:** c/o Villa offensiv, Hasselwerderstr. 38 - 40, 12439 Berlin",**Phone:** +49 30 65487293,**Transport: **[[http://fahrinfo.bvg.de/Fahrinfo/bin/query.bin/en?| BVG Routeplanner ]],**E-Mail:** interaxion@offensiv91.de,**Website:** http://www.zentrum-für-demokratie.de/index.php/interaxion,Counseling,1
13.42449,52.48327,Richard Nickodaim (Dolmetscher),Interpreter and translator for Arabic-German,"**Adress:** Hermannstraße 21, 12049 Berlin",**Phone:** +49 30 6228211,**Transport: **[[http://fahrinfo.bvg.de/Fahrinfo/bin/query.bin/en?| BVG Routeplanner ]],,,Counseling,1
13.3771211,52.5514907,Salam Kulturclub,Free support and consultation services for Syrian refugees and migrants.,"**Adress:**  Buttmannstraße 9A, 13357 Berlin",**Phone:** +49 30 23914409,**Transport: **[[http://fahrinfo.bvg.de/Fahrinfo/bin/query.bin/en?| BVG Routeplanner ]],**E-Mail:** info@salamkulturclub.de,**Website:** http://salamkulturclub.de/,Counseling,1
13.478325,52.512425,Schwangerschaftsberatungsstelle - BALANCE,"Counselling on pregnancy, abortion and family planning","**Adress:** Mauritiuskirchstraße 3, 10365 Berlin",**Phone:** +49 30 57795822,**Transport: **[[http://fahrinfo.bvg.de/Fahrinfo/bin/query.bin/en?| BVG Routeplanner ]],,**Website:** http://www.schwangerschaftsberatung-balance.de/,Counseling,1
13.386437147855759,52.50443136891674,Schwulenberatung Berlin,"Counselling and legal advice for queer migrants and refugees. Consultation hours: Every Tuesday and Friday (2pm-6pm), no appointment necessary.","**Adress:** Wilhelmstraße 115, 10963 Berlin ",**Phone:** +49 30 44668843,**Transport: **[[http://fahrinfo.bvg.de/Fahrinfo/bin/query.bin/en?| BVG Routeplanner ]],, **Website:** http://www.schwulenberatungberlin.de/english#paragraph_2,Counseling,1
13.386063,52.504158,tam - Interkulturelles Familienzentrum,"Help and advice for families. Childcare, recreation and sports for children.","**Adress:** Wilhelm Straße 116 - 117, 10963 Berlin ",**Phone:** +49 30 2644449 ,**Transport: **[[http://fahrinfo.bvg.de/Fahrinfo/bin/query.bin/en?| BVG Routeplanner ]],,**Website:** http://www.dw-stadtmitte.de/index.php?id=558,Counseling,1
13.43864,52.50331,TIO e.V. Beratungsstelle,Consultation services and legal advice for women.,"**Adress:** Köpenicker Str. 9b, 10997 Berlin",**Phone:** +49 30 6122050,**Transport: **[[http://fahrinfo.bvg.de/Fahrinfo/bin/query.bin/en?| BVG Routeplanner ]],**E-Mail:** tio-ev@gmx.de,**Website:** http://www.tio-berlin.de/beratungsstelle/,Counseling,1
13.418205231428148,52.50165739068013,Verband binationaler Familien und Partnerschaften iaf e.V. rechtliche und psychosoziale Beratung für binationale Paare,Free support and consultation services for refugees and migrants.,"**Adress:** Oranienstraße 34, 10999 Berlin-Kreuzberg",**Phone:** +49 30 6153499,**Transport: **[[http://fahrinfo.bvg.de/Fahrinfo/bin/query.bin/en?| BVG Routeplanner ]],**E-Mail:** berlin@verband-binationaler.de,,Counseling,1
13.42839,52.48927,Verein Iranischer Flüchtlinge e.V.,Free support and consultation services for refugees and migrants. Language: Farsi,"**Adress:** Reuterstr. 52, 12047 Berlin-Neukölln",**Phone:** +49 30 62981530,**Transport: **[[http://fahrinfo.bvg.de/Fahrinfo/bin/query.bin/en?| BVG Routeplanner ]],**Website:** http://www.iprberlin.com,,Counseling,1
13.369678,52.550479,Wendepunkt gGmbH ,Help and advice chiefly for families and children with refugee backgrounds,"**Adress:** Gottschedstraße 4, 13357 Berlin ",**Phone:** +49 30 50571424,**Transport: **[[http://fahrinfo.bvg.de/Fahrinfo/bin/query.bin/en?| BVG Routeplanner ]],,**Website:** http://www.team-wendepunkt.de/,Counseling,1
13.3107949,52.4603993,Xenion (Psychosoziale Hilfen für politische Verfolgte),Free support and consultation services for traumatized refugees and migrants. Appointment upon request.,"**Adress:** Paulsenstraße 55/56, 12163 Berlin-Steglitz",**Phone:** +49 30 3232933,**Transport: **[[http://fahrinfo.bvg.de/Fahrinfo/bin/query.bin/en?| BVG Routeplanner ]],**E-Mail:** info@xenion.org,**Website:** http://www.xenion.org,Counseling,1
13.366519,52.552276,Yaar - Afghanische Kultur- und Beratungszentrum,Help and advice for Afghan refugees and German courses,"**Adress:** Liebenwalder Str. 1, 13347 Berlin",**Phone:** +49 30 23407217,**Transport: **[[http://fahrinfo.bvg.de/Fahrinfo/bin/query.bin/en?| BVG Routeplanner ]],**E-Mail:** yaar.verein.berlin@gmail.com,,Counseling,1
13.422076,52.503182,Yekmal e.V.,"Help and legal advice, chiefly for Kurdish immigrants and refugees","**Adress:** Waldemarstraße 57, 10997 Berlin",**Phone:** +49 30 61625848,**Transport: **[[http://fahrinfo.bvg.de/Fahrinfo/bin/query.bin/en?| BVG Routeplanner ]],,**Website:** http://www.yekmal.de/,Counseling,1
