lon,lat,lon,name,beschreibung,adresse,telefon,medium,link,category,category_id
13.423.017,52.559050,13.423017,Pfeffersport e.V. - Leichtathletik,"Different disciplines such as running, jumping high or far or even throwing far. Two age-appropriate groups from 6 to 8 and 9 to 11 years are offered. Dates: Monday 16:30 to 17:30 Group 6 to 8 years old. Monday 5:30 to 7:00 pm Group 9 to 11 years old.","**Adress:** Naturrasensportplatz im Peter-Panter-Park, Neumannstraße 11, 13189 Berlin",,**Info:** https://www.pfeffersport.de,,Sports & Free Time,13
13.423.017,52.559050,13.423017,Pfeffersport e.V. - Frisbee-Sport,"Frisbee, Frisbee Golf and the cool Frisbee Team Sport Ultimate. From 6 to 12 years. Tuesday, 16.30 - 17.30h.","**Adress:** Naturrasensportplatz im Peter-Panter-Park, Neumannstraße 11, 13189 Berlin",,**Info:** https://www.pfeffersport.de,,Sports & Free Time,13
13.352.560,52.597580,13.352560,Schwimmclub 1001,"Learn to swim & swim for refugees, children and teenagers, women and men. Dates: Mondays & Thursdays - various times / depending on the group.","**Adress:** Schwimmhalle im Märkischen Zentrum, Wilhelmsruher Damm 142 D, 13439 Berlin",**Phone:** 15221816746,**Info:** https://www.facebook.com/SchwimmClub1001/,**E-Mail:** schwimmclub1001@gmail.com,Sports & Free Time,13
13.391.880,52.521540,13.391880,Multaka,Syrian and Iraqi refugees are being trained as museum guides so that they can then provide guided museum tours for Syrian and Iraqi refugees in their native language,"**Adress:** c/o Museum für Islamische Kunst, Geschwister-Scholl-Straße 6, 10117 Berlin",,**Info:** https://multaka.de/en/startsite-en/,**E-Mail:** info@multaka.de,Sports & Free Time,13
13.328.500,52.498871,13.328500,Berliner Festspiele,A collaboration of young refugees from the AWO Refugium am Kaiserdamm with the Berliner Festspiele and the Berlin University of the Arts.,"**Adress:** Schaperstraße 24, 10719 Berlin",**Phone:** 030 254890,**Info:** https://www.berlinerfestspiele.de/de/berliner-festspiele/die-institution/vermittlung/vermittlung.html,**E-Mail:** info@berlinerfestspiele.de,Sports & Free Time,13
13.439.300,52.480049,13.439300,Young Arts Neukölln,The Young Arts Neukölln is an art and creative center for children and young people from Neukölln.,"**Adress:** Donaustraße 42, 12043 Berlin",**Phone:** 030 68975422,**Info:** http://youngarts-nk.de/,**E-Mail:** info@youngarts-nk.de,Sports & Free Time,13
13.424.880,52.489891,13.424880,Sharehaus Refugio,The Sharehaus Refugio in Berlin Neukölln is a community center where refugees and locals live and work together.,"**Adress:** Lenaustraße 3-4, 12047 Berlin",**Phone:** 030 695966521,**Info:** http://www.refugio.berlin/,,Sports & Free Time,13
13.438.780,52.477539,13.438780,Berlin Mondiale,"Berlin Mondiale focuses on initiating, guiding, and qualifying cross-generational and multi-discipline artistic collaborations within the context of migration, forced displacement, and exile. ","**Adress:** Karl-Marx-Str. 131
12043 Berlin",**Phone:** 030 – 311 624 37,**Info:** https://berlin-mondiale.de/,**E-Mail:** info@berlin-mondiale.de,Sports & Free Time,13
13.346.040,52.488239,13.346040,Theater Strahl,"Workshops and theater programs for all young people, with and without flight experience.","**Adress:** Martin-Luther-Straße 77, 10825 Berlin",**Phone:** (030) 69 04 22 18,**Info:** https://www.theater-strahl.de/,**E-Mail:** tickets@theater-strahl.de,Sports & Free Time,13
13.349.730,52.493100,13.349730,Trickmisch,"Animation workshops for children around adolescents at welcome and regular classes, in shelters, youth and cultural institutions throughout Berlin.","**Adress:** Stresemannstr. 95-97, 10963 Berlin 
",,**Info:** https://trickmisch.de/,**E-Mail:** post@trickmisch.de,Sports & Free Time,13
13.397.090,52.487919,13.397090,Mobile Dance,Dance workshops for children and adolescents,"**Adress:** Heimstrasse 20, 10965 Berlin",**Phone:** 0176 619 10309,**Info:** www.mobile-dance.com,,Sports & Free Time,13
13.173.660,52.545021,13.173660,jugendtheaterwerkstatt spandau,Music and dance theater projects with and for young people.,"**Adress:** Gelsenkircher Str. 20, 13583 Berlin-Spandau",**Phone:** 030 375 87 623,**Info:** https://jtw-spandau.de/,**E-Mail:** post@jtw-spandau.de,Sports & Free Time,13
13.347.840,52.529999,13.347840,M-Power,"Mpower empowers girls and (young) women with refugee and migration experience (s) in their social and cultural resources, school skills, media literacy and career orientation.","**Adress:** KommMit für Migranten und Flüchtlinge e.V, Birkenstraße 62, 10559 Berlin (Haus M  Eingang P  2.OG)

 ",,**Info:** http://mpower-maedchen.de/,,Sports & Free Time,13
13.425.200,52.489920,13.425200,querstadtein e.V.,Refugees show their perspective of Berlin and offer tours as city guides.,"**Adress:** Lenaustraße 4, 12047 Berlin",,**Info:** https://querstadtein.org/stadtfuehrungen/berlin/gefluechtete/,**E-Mail:** info@querstadtein.org,Sports & Free Time,13
13.417.000,52.550680,13.417000,syn:format,German-Syrian theater project,"**Adress:** Rodenbergstraße 14, 10439 Berlin",**Phone:** 0179 90 865 99,**Info:** http://synformat.org/,**E-Mail:** synformat@gmail.com,Sports & Free Time,13
